,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
59,0.135,https://api.spotify.com/v1/audio-analysis/4K8T6eFXebu870puX1csKe,0.665,178358,0.726,4K8T6eFXebu870puX1csKe,1.1e-05,0,0.0938,-5.903,1,0.0353,101.992,4,https://api.spotify.com/v1/tracks/4K8T6eFXebu870puX1csKe,audio_features,spotify:track:4K8T6eFXebu870puX1csKe,0.393
60,0.043,https://api.spotify.com/v1/audio-analysis/7AHeYu5RwEPtPpl8Jo2Grr,0.803,215410,0.833,7AHeYu5RwEPtPpl8Jo2Grr,0.576,9,0.0601,-5.083,0,0.06,121.989,4,https://api.spotify.com/v1/tracks/7AHeYu5RwEPtPpl8Jo2Grr,audio_features,spotify:track:7AHeYu5RwEPtPpl8Jo2Grr,0.703
61,0.0553,https://api.spotify.com/v1/audio-analysis/6asvXvSk5QkduZ881Xmgyz,0.7,259355,0.799,6asvXvSk5QkduZ881Xmgyz,0.0,9,0.0821,-5.853,0,0.0401,124.013,4,https://api.spotify.com/v1/tracks/6asvXvSk5QkduZ881Xmgyz,audio_features,spotify:track:6asvXvSk5QkduZ881Xmgyz,0.685
62,0.0437,https://api.spotify.com/v1/audio-analysis/6SGFi03nB3JRJJZ9IaT5Dv,0.779,149727,0.801,6SGFi03nB3JRJJZ9IaT5Dv,0.000384,10,0.0945,-5.216,0,0.0345,117.98,4,https://api.spotify.com/v1/tracks/6SGFi03nB3JRJJZ9IaT5Dv,audio_features,spotify:track:6SGFi03nB3JRJJZ9IaT5Dv,0.256
63,0.0621,https://api.spotify.com/v1/audio-analysis/4ZB2JT4OaVp7OLDzq5HVG7,0.771,311613,0.783,4ZB2JT4OaVp7OLDzq5HVG7,1.02e-05,11,0.0289,-3.03,0,0.077,123.977,4,https://api.spotify.com/v1/tracks/4ZB2JT4OaVp7OLDzq5HVG7,audio_features,spotify:track:4ZB2JT4OaVp7OLDzq5HVG7,0.54
64,0.0115,https://api.spotify.com/v1/audio-analysis/417FB8tBdfFOpRdtUWOVU5,0.841,195122,0.834,417FB8tBdfFOpRdtUWOVU5,0.000246,5,0.0344,-4.326,0,0.0472,122.994,4,https://api.spotify.com/v1/tracks/417FB8tBdfFOpRdtUWOVU5,audio_features,spotify:track:417FB8tBdfFOpRdtUWOVU5,0.939
65,0.0268,https://api.spotify.com/v1/audio-analysis/4y9pSbQEXjF7CDLejY7RgC,0.787,328010,0.615,4y9pSbQEXjF7CDLejY7RgC,0.42,9,0.0656,-8.997,0,0.136,120.001,4,https://api.spotify.com/v1/tracks/4y9pSbQEXjF7CDLejY7RgC,audio_features,spotify:track:4y9pSbQEXjF7CDLejY7RgC,0.667
66,0.0866,https://api.spotify.com/v1/audio-analysis/7vLipyyofCI4WohRwvhWZr,0.656,213443,0.736,7vLipyyofCI4WohRwvhWZr,0.000173,10,0.417,-4.986,1,0.0346,122.063,4,https://api.spotify.com/v1/tracks/7vLipyyofCI4WohRwvhWZr,audio_features,spotify:track:7vLipyyofCI4WohRwvhWZr,0.406
67,0.0763,https://api.spotify.com/v1/audio-analysis/4i5m4lgc5ni4oe12aZQVBL,0.652,224598,0.95,4i5m4lgc5ni4oe12aZQVBL,0.0395,9,0.205,-3.184,0,0.0429,123.947,4,https://api.spotify.com/v1/tracks/4i5m4lgc5ni4oe12aZQVBL,audio_features,spotify:track:4i5m4lgc5ni4oe12aZQVBL,0.299
68,0.00677,https://api.spotify.com/v1/audio-analysis/7z4Ik3Nz4FDKvz1pHsFvjk,0.842,353750,0.506,7z4Ik3Nz4FDKvz1pHsFvjk,0.874,11,0.0935,-9.171,0,0.0762,120.012,4,https://api.spotify.com/v1/tracks/7z4Ik3Nz4FDKvz1pHsFvjk,audio_features,spotify:track:7z4Ik3Nz4FDKvz1pHsFvjk,0.186
69,0.0616,https://api.spotify.com/v1/audio-analysis/3VFgoqXw5QdP3nheEVe9L7,0.747,183861,0.708,3VFgoqXw5QdP3nheEVe9L7,0.00639,5,0.143,-7.295,0,0.0547,122.994,4,https://api.spotify.com/v1/tracks/3VFgoqXw5QdP3nheEVe9L7,audio_features,spotify:track:3VFgoqXw5QdP3nheEVe9L7,0.918
70,0.0393,https://api.spotify.com/v1/audio-analysis/6L7h9ueRTFLzlWmcGqGz1R,0.839,333929,0.624,6L7h9ueRTFLzlWmcGqGz1R,0.00345,9,0.0389,-6.521,0,0.0698,104.989,4,https://api.spotify.com/v1/tracks/6L7h9ueRTFLzlWmcGqGz1R,audio_features,spotify:track:6L7h9ueRTFLzlWmcGqGz1R,0.736
71,0.0131,https://api.spotify.com/v1/audio-analysis/2nAl8U0bNm0v7z1qrbqg6n,0.801,298033,0.666,2nAl8U0bNm0v7z1qrbqg6n,0.0503,2,0.0746,-7.879,0,0.0531,110.002,4,https://api.spotify.com/v1/tracks/2nAl8U0bNm0v7z1qrbqg6n,audio_features,spotify:track:2nAl8U0bNm0v7z1qrbqg6n,0.587
